,,,,,
Anquira Id,Course Name,Price (inc GST),GST Applicable,Is Exam,
1,Python Core,2999,No,No,
2,Java-Core & Advance,7999,No,No,
4,Automation with DevOps,7999,No,No,
5,Red Hat Certified System Admin & Engineer (RHCSA & RHCE),7499,No,No,
6,Dot-Net,5999,No,No,
9,Artificial Intelligence,9999,No,No,
10,Kubernetes Administration,7999,No,No,
12,Redhat Virtualization,0,,No,Expired
13,Advance Ansible Kit (EX 447 + DO 447),39000,Yes,No,
14,Red Hat OpenStack Administartion KIT (DO 210+Book+Lab),39000,Yes,Yes,
15,EX200,16500,Yes,Yes,
16,Red Hat Certified System Administrator (RHCSA),4999,No,No,
17,EX407,,,Yes,Expired
18,Jenkins,7999,No,No,
19,Red Hat OpenShift Administartion KIT (DO 180+Book+Lab),26850,Yes,No,
20,Bash shell,5999,No,No,
23,Red Hat OpenStack Administartion KIT (DO 110+Book+Lab),35000,Yes,,
34,Hadoop-Admin,9999,No,No,
38,Hadoop-Developer,9999,No,No,
54,CL310 - openstack rhce,0,,No,Expired
58,EX300,19470,,Yes,Expired
59,W3Python,0,,No,Expired
69,JBoss Application Administration I,0,,No,Expired
76,Devops Foundation,999,No,No,
94,RH436,0,,No,Expired
106,RH-342,0,,No,Expired
113,RH-413,0,,No,Expired
139,No Course Select,0,,No,Expired
165,Puppet-Admin-I,0,,No,Expired
201,"Openstack - CL210v6,Automation with Ansible",0,,No,Expired
203,Microsoft Azure Administrator 104,7999,No,No,
204,Docker Administration,5999,No,No,
205,Data Science with Python,9999,No,No,
206,AWS Certified Solutions Architect - Professional,12999,No,No,
207,Google Cloud Platform (GCP) - AP2020,7999,No,No,
208,AWS Certified SysOps Administrator - Associate,3999,No,No,
209,Red Hat Certified Engineer (RHCE),3999,No,No,
210,AWS Certified Solutions Architect - Associate,7999,No,No,
211,,,,,
212,,,,,
213,DevOps Level II,4999,,No,Expired
214,DevOps Level III,4999,,No,Expired
215,Python Advance,5000,,No,Expired
216,Python Core & Advance,10000,,No,Expired
217,AWS Certified DevOps Engineer - Professional,9999,No,No,
218,AWS Certified Cloud Practitioner,1999,No,No,
219,GIT,4999,No,No,
220,Terraform,7999,No,No,
221,ITIL with Certification,24999,No,No,
222,Containerization and AWS EKS,4999,No,No,
223,Shell Scripting,6999,No,No,
224,Sales Course,9999,No,No,
225,Salesforce,24999,No,No,
227,PHP,9999,No,No,
228,Java Script,9999,No,No,
229,AWS Developer - Associate,12999,No,No,
230,Certified Kubernetes Application Developer (CKAD),12999,No,No,
231,Certified Kubernetes Administrator (CKA),12999,No,No,
232,Elasticsearch logStash kibana Elk,6000,No,No,
233,Oracle - Database Administration,12999,No,No,
234,MERN - Stack Developer,12999,No,No,
235,Blockchain,12999,No,No,
236,ReactJS,12999,No,No,
237,Ruby Programming,7999,No,No,
238,PMP,9999,No,No,
239,AGILE,9999,No,No,
241,JIRA Software,12999,No,No,
242,SQL Server,12999,No,No,
243,Automation with Ansible (AP2V),12999,No,No,
244,Microsoft SQL Server Administration,9999,No,No,
245,Microsoft SQL Server Developer,12999,No,No,
246,Microsoft Azure Administrator 204,7999,No,No,
247,R programming,6999,,No,Expired
248,R Programming Core & Advance,7999,No,No,
249,R Programming with Data Science,9999,No,No,
250,OpenStack Administration CL110 Training ,9999,No,No,
251,OpenShift Administration(DO280),9999,No,No,
252,OpenShift Administration (DO180),9999,No,No,
253,OpenStack Administration CL210 Training,9999,No,No,
254,Azure AZ300-304,10000,,No,Expired
255,HTML,4999,No,No,
256,HTML CSS (web designing),7999,No,No,
257,Tableau Professional Course,9999,No,No,
258,Tableau Developers Certification Course,9999,No,No,
259,Python and PYQT,9999,No,No,
260,Python & DevOps Combo,15000,,No,Expired
261,Machine learning with Data Science,9999,No,No,
262,Django with Python,7999,No,No,
263,Azure AZ-500,14999,No,No,
264,PMP Certification,9999,No,No,
265,Power BI,9999,No,No,
266,Certified Kubernetes Security Specialist (CKS),24999,No,No,
267,Cysa certification,9999,No,No,
268,AZ-900,4999,No,No,
269,Data Analytics using Python,12999,No,No,
270,Cyber Security Course,9999,No,No,
271,SUSE Linux,12999,No,No,
272,SA1 ,1499,,No,Expired
273,SA2 ,1499,,No,Expired
274,SA3 ,1499,,No,Expired
275,Android Development Course,9999,No,No,
276,Az-400(azure devops),14999,No,No,
277,Ansible Training,9999,,No,
278,PERL Scripting,9999,No,No,
279,EX 294,16500,No,Yes,
281,Eithical Hacking Expert,24999,No,No,
282,Mastering in Python Programming,6499,No,No,
283,DevOps Job Support,18000,No,No,
284,Azure AZ 303,14999,No,No,
285,Azure AZ-304,14999,No,No,
286,CRISC,9999,No,Yes,
287,Microsoft Azure administrator 104 certification,4999,No,Yes,
288,Linux Foundation,999,No,No,
289,EX200 Prep,1999,No,No,
290,EX294 Prep,1999,No,No,
291,EX280 Prep,4999,No,No,
292,EX310 Prep,4999,No,No,
293,EX-210 Prep,4999,No,No,
294,terraform Exam support,4999,No,Yes,
295,AWS exam support,9999,No,Yes,
296,Azure 900 exam support,4999,No,Yes,
297,Ruby on Rails,14999,No,No,
298,EX300 Prep,1999,,No,Expired
299,Azure 500 exam support,4999,No,Yes,
300,Azure power bi DA-100,4999,No,Yes,
301,Crisc,5499,No,Yes,
302,Clearance for security+,4999,No,Yes,
303,Ckad Certification,5999,No,Yes,
304,PMP Certification,6999,No,Yes,
305,Cysa certification,5499,No,Yes,
306,Red Hat OpenShift Administartion KIT (DO 280+Exam+Book+Lab),30900,Yes,No,
